name,display_name,publisher,repo,git_path,stars,license,archived,skills,mcp_servers,commands,rules,agents,hooks,cursor_manifest,agent_plugins_portable,portability_established,runs_in_claude,runs_in_codex,runs_in_copilot,runs_in_grok,runs_in_antigravity,runs_in_opencode,runs_in_kimi,runs_in_hermes,runs_in_devin,runs_in_tessl,runs_in_cortex,runs_in_minimax,runs_in_qoder,sign_in,sign_in_evidence,install,marketplace_url,install_verified,first_seen
superpowers,Superpowers,Superpowers,obra/superpowers,.,286382,MIT,false,14,0,0,0,0,1,true,false,true,true,true,false,false,false,false,true,false,true,false,false,false,false,skills-only,no MCP server component,/add-plugin superpowers,https://cursor.com/marketplace/superpowers,true,2026-08-25
shadcn,shadcn/ui,shadcn,shadcn-ui/ui,.,123710,MIT,false,1,1,0,0,0,0,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,local,"runs locally over stdio, no key declared",/add-plugin shadcn,https://cursor.com/marketplace/shadcn,true,2026-08-25
mem0,Mem0,Mem0,mem0ai/mem0,integrations/mem0-plugin,65259,Apache-2.0,false,16,1,0,0,0,6,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,unknown,no MCP configuration found in the source repo,/add-plugin mem0,https://cursor.com/marketplace/mem0,true,2026-08-25
context7-plugin,Context7,Upstash,upstash/context7,plugins/claude/context7,61980,MIT,false,1,1,1,0,0,0,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,oauth,unauthenticated initialize returns 401 with protected-resource metadata that resolves,/add-plugin context7-plugin,https://cursor.com/marketplace/upstash,true,2026-08-25
devtools-for-agents,Chrome Devtools for Agents,Google Chrome,ChromeDevTools/chrome-devtools-mcp,.,51877,Apache-2.0,false,6,1,0,0,0,0,true,true,true,true,false,true,false,false,false,false,false,false,false,false,false,false,local,"runs locally over stdio, no key declared",/add-plugin devtools-for-agents,https://cursor.com/marketplace/google-chrome/devtools-for-agents,true,2026-08-25
tldraw,tldraw,tldraw,tldraw/tldraw,apps/mcp-app/plugins/tldraw-mcp,50346,NOASSERTION,false,0,1,0,0,0,0,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,none,unauthenticated initialize returns a JSON-RPC result,/add-plugin tldraw,https://cursor.com/marketplace/tldraw,true,2026-08-25
compound-engineering,Compound Engineering,Every,EveryInc/compound-engineering-plugin,.,25070,MIT,false,32,0,0,0,0,0,true,true,true,true,true,false,true,false,false,true,false,true,false,false,false,false,skills-only,no MCP server component,/add-plugin compound-engineering,https://cursor.com/marketplace/every,true,2026-08-25
pascal-agent-skills,Pascal,Pascal,pascalorg/editor,skills,23894,MIT,false,2,2,0,0,0,0,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,oauth,unauthenticated initialize returns 401 with protected-resource metadata that resolves,/add-plugin pascal-agent-skills,https://cursor.com/marketplace/pascal,true,2026-09-14
gsap-skills,GSAP,GSAP,greensock/gsap-skills,.,15251,MIT,false,8,0,0,0,0,0,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,skills-only,no MCP server component,/add-plugin gsap-skills,https://cursor.com/marketplace/gsap,true,2026-08-25
react-doctor,React Doctor,React Doctor,millionco/react-doctor,.,14839,NOASSERTION,false,2,0,0,0,0,0,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,skills-only,no MCP server component,/add-plugin react-doctor,https://cursor.com/marketplace/react-doctor,true,2026-08-25
huggingface-skills,Hugging Face,Hugging Face,huggingface/skills,.,11047,Apache-2.0,false,18,1,0,0,0,0,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,oauth,unauthenticated initialize returns 401 with protected-resource metadata that resolves,/add-plugin huggingface-skills,https://cursor.com/marketplace/huggingface,true,2026-08-25
agent-compatibility,Agent Compatibility,Cursor,cursor/plugins,agent-compatibility,7653,,false,1,0,0,0,0,0,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,skills-only,no MCP server component,/add-plugin agent-compatibility,https://cursor.com/marketplace/cursor/agent-compatibility,true,2026-08-25
